Mu,Sigma,Skew,Shape,Shape(GIG),Realized
2007-09-14,0,0.00233915645816999,0,0,0,0.000627391952319201
2007-09-17,0,0.0023146114762449,0,0,0,0.000501630308988865
2007-09-18,0,0.00228978463772858,0,0,0,0.00200400868671569
2007-09-19,0,0.00228337483108273,0,0,0,-0.000125132953926688
2007-09-20,0,0.00225790363312081,0,0,0,-0.00715858630018751
2007-09-21,0,0.00247008236095106,0,0,0,0.00289472230325938
2007-09-24,0,0.00247879829406696,0,0,0,0.000125667609339075
2007-09-25,0,0.00245036249276706,0,0,0,0.000753674197213172
2007-09-26,0,0.0024248358505276,0,0,0,-0.00100502521022428
2007-09-27,0,0.00240172545259795,0,0,0,0.00175813181039786
2007-09-28,0,0.00238851448034015,0,0,0,0.0015045138244183
2007-10-01,0,0.00237178431773261,0,0,0,-0.00338834483679218
2007-10-02,0,0.00239761835072371,0,0,0,0.0037641198772258
2007-10-03,0,0.00243456016367915,0,0,0,0.000500813832929659
2007-10-04,0,0.00240785352535039,0,0,0,-0.000375586858875288
2007-10-05,0,0.00238106019057939,0,0,0,-0.00792008665792476
2007-10-08,0,0.00262824652221466,0,0,0,0.00779485968387039
2007-10-09,0,0.00284085505523513,0,0,0,-0.00200576725136425
2007-10-10,0,0.00282256591116808,0,0,0,0.00125407591053239
2007-10-11,0,0.00279511267332368,0,0,0,0.000751691340831862
2007-10-12,0,0.00288610830592459,0,0,0,-0.00200576725136425
2007-10-15,0,0.00286492272496291,0,0,0,0.000376387934936773
2007-10-16,0,0.0028263641202292,0,0,0,0.00162937931642748
2007-10-17,0,0.0028002047512214,0,0,0,0.00337563613659597
2007-10-18,0,0.00281541317107807,0,0,0,0.0028665813859039
2007-10-19,0,0.0028153905081243,0,0,0,0.00459428386183269
2007-10-22,0,0.00287449896812268,0,0,0,-0.000247800769450635
2007-10-23,0,0.00283540691357225,0,0,0,-0.000371816327020547
2007-10-24,0,0.0027973387323966,0,0,0,0.00432927882566148
2007-10-25,0,0.0028465379215661,0,0,0,-0.00247157812421683
2007-10-26,0,0.00283588844500884,0,0,0,-0.000990344225532347
2007-10-29,0,0.00280173925421728,0,0,0,0
2007-10-30,0,0.00276359713525081,0,0,0,0.00136147059832048
2007-10-31,0,0.00273496285573411,0,0,0,-0.00284882833409572
2007-11-01,0,0.00273693348716748,0,0,0,0.00247770196130759
2007-11-02,0,0.00272940725181641,0,0,0,0.00111296616942091
2007-11-05,0,0.00269849398258214,0,0,0,-0.000865533284327924
2007-11-06,0,0.0026657819052181,0,0,0,-0.00136163912849607
2007-11-07,0,0.00263914459265353,0,0,0,0.000247708695841453
2007-11-08,0,0.00260408813638156,0,0,0,0.000990221642987343
2007-11-09,0,0.00257430353464603,0,0,0,0.00345807433650069
2007-11-12,0,0.00260077188717974,0,0,0,-0.00135710340981454
2007-11-13,0,0.00257541841922464,0,0,0,0.000123449169961098
2007-11-14,0,0.00254123152380831,0,0,0,-0.000370393238385169
2007-11-15,0,0.00250827229597788,0,0,0,0.00418977815613086
2007-11-16,0,0.00255567721450756,0,0,0,-0.000615043995032316
2007-11-19,0,0.00252496470838805,0,0,0,0.00208960803709868
2007-11-20,0,0.00251456680317821,0,0,0,-0.00208960803709868
2007-11-21,0,0.00250443178738912,0,0,0,0.00759993851698315
2007-11-23,0,0.00274757537208531,0,0,0,-0.00514202895954607
2007-11-26,0,0.00283033435274907,0,0,0,0.00916372714718161
2007-11-27,0,0.00314454249862726,0,0,0,-0.00414382067664398
2007-11-28,0,0.00317034384963361,0,0,0,-0.00244558693667773
2007-11-29,0,0.00315138970541158,0,0,0,0.00281190967109968
2007-11-30,0,0.00314050685409998,0,0,0,0.00207329789494892
2007-12-03,0,0.00311555396469919,0,0,0,0.00522511669379266
2007-12-04,0,0.00318222888644896,0,0,0,-0.00376419605411726
2007-12-05,0,0.00319498996992252,0,0,0,-0.00194836885795446
2007-12-06,0,0.00316690307286342,0,0,0,-0.00109762801434155
2007-12-07,0,0.00312912807685818,0,0,0,-0.00562899185771037
2007-12-10,0,0.00321212800138418,0,0,0,-0.00208832457198227
2007-12-11,0,0.00318589120933766,0,0,0,0.00490678118927512
2007-12-12,0,0.0032367757425869,0,0,0,-0.00097943200777717
2007-12-13,0,0.0031968259849285,0,0,0,-0.00392734918149795
2007-12-14,0,0.00321395809000987,0,0,0,-0.00270902763877867
2007-12-17,0,0.00319926420234101,0,0,0,0.00147856113678468
2007-12-18,0,0.00316477656769691,0,0,0,0.0052802971583219
2007-12-19,0,0.00323126477847511,0,0,0,0.00207989308477874
2007-12-20,0,0.00320448565271578,0,0,0,-0.000978234365121011
2007-12-21,0,0.00316508037664498,0,0,0,-0.00429106279718106
2007-12-24,0,0.00324044538118787,0,0,0,0.000245700246935598
2007-12-26,0,0.0031952424606811,0,0,0,-0.00307560062827239
2007-12-27,0,0.00318988727865238,0,0,0,0.00552928852353762
2007-12-28,0,0.00327092999772374,0,0,0,0.0053770140549485
2007-12-31,0,0.00334108042255066,0,0,0,0.000243724105520648
2008-01-02,0,0.00329418798923176,0,0,0,0.00474078563713309
2008-01-03,0,0.00333782962629342,0,0,0,0.00266440753481412
2008-01-04,0,0.00331907453410561,0,0,0,0.00205400905900444
2008-01-07,0,0.00328926548759438,0,0,0,0.00120627276388152
2008-01-08,0,0.00324890874038194,0,0,0,0.00264868924414241
2008-01-09,0,0.00323206180828627,0,0,0,-0.00240760920440231
2008-01-10,0,0.00321064272227494,0,0,0,-0.00205103528498007
2008-01-11,0,0.00318316149327056,0,0,0,0.00433840159859855
2008-01-14,0,0.00321676142236137,0,0,0,0.000721240564982573
2008-01-15,0,0.00317386718688574,0,0,0,0.00359842057953408
2008-01-16,0,0.00318361481593791,0,0,0,-0.00299778388660066
2008-01-17,0,0.00317663504199869,0,0,0,0.00598660791798977
2008-01-18,0,0.00327964304040763,0,0,0,-0.000119381603436608
2008-01-22,0,0.00323359451761244,0,0,0,0.00155085029592161
2008-01-23,0,0.00319818768806844,0,0,0,-0.0029845422977699
2008-01-24,0,0.00319046787163958,0,0,0,-0.00251391764644993
2008-01-25,0,0.00317222865833348,0,0,0,0.00167664709936144
2008-01-28,0,0.00313974592712056,0,0,0,0.00191273220299593
2008-01-29,0,0.00311152288447221,0,0,0,-0.00311005035369494
2008-01-30,0,0.00310951901765057,0,0,0,0.00155623422801021
